Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,Diode_DO-35,64.29375,-77.62875,90,bottom
D2,Diode,Diode_DO-35,83.34375,-77.62875,90,bottom
D3,Diode,Diode_DO-35,102.39375,-77.62875,90,bottom
D4,Diode,Diode_DO-35,64.29375,-96.67875,90,bottom
D5,Diode,Diode_DO-35,83.34375,-96.67875,90,bottom
D6,Diode,Diode_DO-35,102.39375,-96.67875,90,bottom
D7,Diode,Diode_DO-35,121.44375,-96.67875,90,bottom
D8,Diode,Diode_DO-35,64.29375,-115.72875,90,bottom
D9,Diode,Diode_DO-35,83.34375,-115.72875,90,bottom
D10,Diode,Diode_DO-35,102.39375,-115.72875,90,bottom
D11,Diode,Diode_DO-35,121.44375,-115.72875,90,bottom
D12,Diode,Diode_DO-35,64.29375,-134.77875,90,bottom
D13,Diode,Diode_DO-35,83.34375,-134.77875,90,bottom
D14,Diode,Diode_DO-35,102.39375,-134.77875,90,bottom
D15,Diode,Diode_DO-35,121.44375,-134.77875,90,bottom
D16,Diode,Diode_DO-35,64.29375,-153.82875,90,bottom
D17,Diode,Diode_DO-35,83.34375,-153.82875,90,bottom
D18,Diode,Diode_DO-35,102.39375,-153.82875,90,bottom
D19,Diode,Diode_DO-35,121.44375,-153.82875,90,bottom
D20,Diode,Diode_DO-35,83.34375,-172.87875,90,bottom
D21,Diode,Diode_DO-35,102.39375,-172.87875,90,bottom
D22,Diode,Diode_DO-35,121.44375,-77.62875,90,bottom
J1,SPI,PinHeader_2x04_P2.54mm_Vertical,70.2,-55.2,180,top
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.872,-62.058,-90,top
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,111.428,-62.006,90,top
S1,Keyswitch,Hotswap_MX_1.00u,54.76875,-73.81875,0,top
S2,Keyswitch,Hotswap_MX_1.00u,73.81875,-73.81875,0,top
S3,Keyswitch,Hotswap_MX_1.00u,92.86875,-73.81875,0,top
S4,Keyswitch,Hotswap_MX_1.00u,54.76875,-92.86875,0,top
S5,Keyswitch,Hotswap_MX_1.00u,73.81875,-92.86875,0,top
S6,Keyswitch,Hotswap_MX_1.00u,92.86875,-92.86875,0,top
S7,Keyswitch,Hotswap_MX_1.00u,111.91875,-92.86875,0,top
S8,Keyswitch,Hotswap_MX_1.00u,54.76875,-111.91875,0,top
S9,Keyswitch,Hotswap_MX_1.00u,73.81875,-111.91875,0,top
S10,Keyswitch,Hotswap_MX_1.00u,92.86875,-111.91875,0,top
S11,Keyswitch,Hotswap_MX_1.00u,111.91875,-111.91875,0,top
S12,Keyswitch,Hotswap_MX_1.00u,54.76875,-130.96875,0,top
S13,Keyswitch,Hotswap_MX_1.00u,73.81875,-130.96875,0,top
S14,Keyswitch,Hotswap_MX_1.00u,92.86875,-130.96875,0,top
S15,Keyswitch,Hotswap_MX_1.00u,111.91875,-130.96875,0,top
S16,Keyswitch,Hotswap_MX_1.00u,54.76875,-150.01875,0,top
S17,Keyswitch,Hotswap_MX_1.00u,73.81875,-150.01875,0,top
S18,Keyswitch,Hotswap_MX_1.00u,92.86875,-150.01875,0,top
S19,Keyswitch,Hotswap_MX_2.00u_90deg,111.91875,-159.54375,0,top
S20,Keyswitch,Hotswap_MX_2.00u,64.29375,-169.06875,0,top
S21,Keyswitch,Hotswap_MX_1.00u,92.86875,-169.06875,0,top
SW1,RotaryEncoder_Switch,XDCR_PEC11R-4215F-S0024,111.91875,-73.81875,180,top
U2,Nice_Nano_V2,Nice_Nano_V2,104.775,-42.8625,0,top
