Designator,Comment,Footprint,Qty,LCSC Part Number
"C1,C3,C4",0u1F,Capacitor_SMD:C_0402_1005Metric,3,C1525
C2,10uF,Capacitor_SMD:C_0805_2012Metric,1,C408141
"C5,C6",1uF,Capacitor_SMD:C_0805_2012Metric,2,C215803
D22,LED,LED_SMD:LED_0402_1005Metric,1,C2984137
J1,USB_C_Receptacle_USB2.0_16P,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,C3025063
J2,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,C5116483
J3,2x8 GPIO for SPI,Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical_SMD,1, C157340
"R1,R2,R5,R6",10k,Resistor_SMD:R_0402_1005Metric,4,C98220
"R3,R4",5k1,Resistor_SMD:R_0402_1005Metric,2,C105580
R7,220R,Resistor_SMD:R_0402_1005Metric,1,C185440
"SW1,SW2","RESET, BOOT",Button_Switch_SMD:SW_SPST_PTS647_Sx50,1,C2799414
SW3,RotaryEncoder_Switch,Macropad_Libs:XDCR_PEC11R-4215F-S0024,1,C143790
U2,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,1,C2827654
U3,ESP32-S3-MINI-1,RF_Module:ESP32-S2-MINI-1,1,C2913206
U4,AP2112K-3.3,Package_TO_SOT_SMD:SOT-23-5,1,C51118
