Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","Diode_DO-35",59.213750,-84.772500,90.000000,bottom
"D2","D","Diode_DO-35",78.263750,-84.772500,90.000000,bottom
"D3","D","Diode_DO-35",97.313750,-84.772500,90.000000,bottom
"D4","D","Diode_DO-35",59.213750,-103.822500,90.000000,bottom
"D5","D","Diode_DO-35",78.263750,-103.822500,90.000000,bottom
"D6","D","Diode_DO-35",97.313750,-103.822500,90.000000,bottom
"D7","D","Diode_DO-35",116.363750,-103.822500,90.000000,bottom
"D8","D","Diode_DO-35",59.213750,-122.872500,90.000000,bottom
"D9","D","Diode_DO-35",78.263750,-122.872500,90.000000,bottom
"D10","D","Diode_DO-35",97.313750,-122.872500,90.000000,bottom
"D11","D","Diode_DO-35",116.363750,-122.872500,90.000000,bottom
"D12","D","Diode_DO-35",59.213750,-141.922500,90.000000,bottom
"D13","D","Diode_DO-35",78.263750,-141.922500,90.000000,bottom
"D14","D","Diode_DO-35",97.313750,-141.922500,90.000000,bottom
"D15","D","Diode_DO-35",116.363750,-141.922500,90.000000,bottom
"D16","D","Diode_DO-35",59.213750,-160.972500,90.000000,bottom
"D17","D","Diode_DO-35",78.263750,-160.972500,90.000000,bottom
"D18","D","Diode_DO-35",97.313750,-160.972500,90.000000,bottom
"D19","D","Diode_DO-35",116.363750,-160.972500,90.000000,bottom
"D20","D","Diode_DO-35",78.263750,-180.022500,90.000000,bottom
"D21","D","Diode_DO-35",97.313750,-180.022500,90.000000,bottom
