Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0u1F","C_0402_1005Metric",81.250000,-47.980000,90.000000,top
"C2","10uF","C_0805_2012Metric",77.250000,-48.000000,90.000000,top
"C3","0u1F","C_0805_2012Metric",72.750000,-57.250000,0.000000,top
"C4","0u1F","C_0402_1005Metric",103.200000,-64.000000,90.000000,top
"C5","1uF","C_0805_2012Metric",60.000000,-48.250000,180.000000,top
"C6","1uF","C_0805_2012Metric",68.750000,-48.250000,-90.000000,top
"D22","LED","LED_0402_1005Metric",94.500000,-68.000000,0.000000,top
"FM1","Fiducial","Fiducial_1mm_Mask2mm",119.800000,-42.200000,0.000000,top
"FM2","Fiducial","Fiducial_1mm_Mask2mm",39.000000,-52.500000,0.000000,top
"FM3","Fiducial","Fiducial_1mm_Mask2mm",121.900000,-181.600000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",55.500000,-38.000000,180.000000,top
"J3","2x8 GPIO for SPI","PinSocket_2x08_P2.54mm_Vertical_SMD",46.600000,-58.000000,0.000000,top
"R1","10k","R_0402_1005Metric",72.000000,-51.400000,-90.000000,top
"R2","10k","R_0402_1005Metric",103.200000,-61.890000,-90.000000,top
"R3","5k1","R_0402_1005Metric",49.200000,-38.200000,90.000000,top
"R4","5k1","R_0402_1005Metric",61.800000,-38.200000,90.000000,top
"R5","10k","R_0402_1005Metric",106.000000,-71.437500,0.000000,top
"R6","10k","R_0402_1005Metric",108.510000,-71.437500,0.000000,top
"R7","220R","R_0402_1005Metric",91.750000,-68.000000,180.000000,top
"S1","Keyswitch","Hotswap_MX_1.00u",49.688750,-80.962500,0.000000,top
"S2","Keyswitch","Hotswap_MX_1.00u",68.768750,-80.962500,0.000000,top
"S3","Keyswitch","Hotswap_MX_1.00u",87.818750,-80.962500,0.000000,top
"S4","Keyswitch","Hotswap_MX_1.00u",49.688750,-100.012500,0.000000,top
"S5","Keyswitch","Hotswap_MX_1.00u",68.738750,-100.012500,0.000000,top
"S6","Keyswitch","Hotswap_MX_1.00u",87.788750,-100.012500,0.000000,top
"S7","Keyswitch","Hotswap_MX_1.00u",106.838750,-100.012500,0.000000,top
"S8","Keyswitch","Hotswap_MX_1.00u",49.688750,-119.062500,0.000000,top
"S9","Keyswitch","Hotswap_MX_1.00u",68.738750,-119.062500,0.000000,top
"S10","Keyswitch","Hotswap_MX_1.00u",87.788750,-119.062500,0.000000,top
"S11","Keyswitch","Hotswap_MX_1.00u",106.838750,-119.062500,0.000000,top
"S12","Keyswitch","Hotswap_MX_1.00u",49.688750,-138.112500,0.000000,top
"S13","Keyswitch","Hotswap_MX_1.00u",68.738750,-138.112500,0.000000,top
"S14","Keyswitch","Hotswap_MX_1.00u",87.788750,-138.112500,0.000000,top
"S15","Keyswitch","Hotswap_MX_1.00u",106.838750,-138.112500,0.000000,top
"S16","Keyswitch","Hotswap_MX_1.00u",49.688750,-157.162500,0.000000,top
"S17","Keyswitch","Hotswap_MX_1.00u",68.738750,-157.162500,0.000000,top
"S18","Keyswitch","Hotswap_MX_1.00u",87.788750,-157.162500,0.000000,top
"S19","Keyswitch","Hotswap_MX_2.00u_90deg",106.838750,-166.687500,0.000000,top
"S20","Keyswitch","Hotswap_MX_2.00u",59.213750,-176.212500,0.000000,top
"S21","Keyswitch","Hotswap_MX_1.00u",87.788750,-176.212500,0.000000,top
"SW1","RESET","SW_SPST_PTS647_Sx50",68.000000,-54.500000,-90.000000,top
"SW2","BOOT","SW_SPST_PTS647_Sx50",108.000000,-63.000000,-90.000000,top
"SW3","RotaryEncoder_Switch","XDCR_PEC11R-4215F-S0024",106.838750,-80.962500,180.000000,top
"U1","ESP32-S3-WROOM-2","ESP32-S3-WROOM-2",91.860000,-52.410000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",55.500000,-47.375000,-90.000000,top
"U4","AP2112K-3.3","SOT-23-5",64.837500,-48.400000,0.000000,top
